gioitinh,khoa,hedt,khoahoc,xl_tt,khuvuc_1.0,khuvuc_2.0,khuvuc_3.0,khuvuc_4.0,khuvuc_5.0,khuvuc_6.0,khuvuc_7.0,xl_av,sotchk,hocky_sx,xl_drl,sotchk_truoc,xl_drl_truoc,xlhk_truoc
1.0,MMT&TT, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,10,8,3.0,18.0,3.0,4
1.0,CNPM, CLC,12.0,2.0,0,0,0,0,0,1,0,1.0,23,3,3.0,19.0,3.0,3
1.0,MMT&TT, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,4,5,4.0,28.0,2.0,2
1.0,KTMT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,16,6,2.0,16.0,3.0,2
0.0,MMT&TT, KSTN,10.0,2.0,0,0,0,0,0,1,0,0.0,13,8,4.0,18.0,5.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,5.0,24,4,5.0,23.0,5.0,5
1.0,KHMT, CQUI,13.0,2.0,0,0,0,0,0,1,0,3.0,23,2,4.0,17.0,5.0,3
0.0,MMT&TT, CQUI,11.0,2.0,0,0,1,0,0,0,0,0.0,4,3,4.0,17.0,3.0,2
1.0,HTTT, CTTT,14.0,0.0,0,0,0,0,0,1,0,2.0,19,3,5.0,13.0,5.0,2
0.0,HTTT, CQUI,14.0,2.0,0,0,0,0,0,0,1,3.0,14,7,5.0,20.0,5.0,4
1.0,MMT&TT, CQUI,8.0,3.0,0,0,0,1,0,0,0,0.0,16,5,3.0,3.0,4.0,4
1.0,MMT&TT, CLC,14.0,3.0,0,0,0,0,0,1,0,2.0,19,3,5.0,21.0,5.0,5
1.0,MMT&TT, CQUI,11.0,2.0,0,0,0,0,0,0,1,0.0,19,4,4.0,24.0,4.0,3
1.0,KTMT, CLC,9.0,4.0,0,0,0,0,0,1,0,0.0,17,7,3.0,16.0,3.0,4
1.0,HTTT, CLC,9.0,3.0,0,0,0,0,0,0,1,0.0,24,4,2.0,24.0,3.0,3
1.0,MMT&TT, CLC,14.0,1.0,0,0,0,0,0,0,1,0.0,3,7,4.0,21.0,2.0,2
1.0,MMT&TT, CQUI,12.0,3.0,0,0,0,1,0,0,0,2.0,20,2,4.0,20.0,3.0,2
1.0,MMT&TT, CQUI,12.0,3.0,0,0,0,0,0,1,0,2.0,20,2,4.0,20.0,5.0,4
1.0,KTMT, CLC,14.0,2.0,0,0,1,0,0,0,0,0.0,21,3,3.0,16.0,4.0,1
1.0,KTMT, CQUI,9.0,3.0,0,0,0,0,0,1,0,0.0,17,8,3.0,18.0,1.0,3
1.0,MMT&TT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,19,2,3.0,18.0,4.0,2
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,3.0,23,3,5.0,18.0,5.0,4
1.0,CNPM, CQUI,9.0,4.0,0,0,1,0,0,0,0,0.0,10,9,3.0,10.0,3.0,4
1.0,CNPM, CQUI,12.0,4.0,0,0,1,0,0,0,0,1.0,23,2,3.0,20.0,4.0,3
